Column Name,Original Value,Imputed/Encoded Value
passenger_count,null/nan,1.0
extra,null/nan,0
payment_type,unknown,Cash
trip_distance,0,-1
pickup_location,"Bronx,Allerton/Pelham Gardens",0
pickup_location,"Bronx,Bedford Park",1
pickup_location,"Bronx,Belmont",2
pickup_location,"Bronx,Bronx Park",3
pickup_location,"Bronx,Bronxdale",4
pickup_location,"Bronx,City Island",5
pickup_location,"Bronx,Claremont/Bathgate",6
pickup_location,"Bronx,Co-Op City",7
pickup_location,"Bronx,Country Club",8
pickup_location,"Bronx,Crotona Park",9
pickup_location,"Bronx,Crotona Park East",10
pickup_location,"Bronx,East Concourse/Concourse Village",11
pickup_location,"Bronx,East Tremont",12
pickup_location,"Bronx,Eastchester",13
pickup_location,"Bronx,Fordham South",14
pickup_location,"Bronx,Highbridge",15
pickup_location,"Bronx,Hunts Point",16
pickup_location,"Bronx,Kingsbridge Heights",17
pickup_location,"Bronx,Longwood",18
pickup_location,"Bronx,Melrose South",19
pickup_location,"Bronx,Morrisania/Melrose",20
pickup_location,"Bronx,Mott Haven/Port Morris",21
pickup_location,"Bronx,Mount Hope",22
pickup_location,"Bronx,Norwood",23
pickup_location,"Bronx,Parkchester",24
pickup_location,"Bronx,Pelham Bay",25
pickup_location,"Bronx,Pelham Bay Park",26
pickup_location,"Bronx,Pelham Parkway",27
pickup_location,"Bronx,Riverdale/North Riverdale/Fieldston",28
pickup_location,"Bronx,Schuylerville/Edgewater Park",29
pickup_location,"Bronx,Soundview/Bruckner",30
pickup_location,"Bronx,Soundview/Castle Hill",31
pickup_location,"Bronx,Spuyten Duyvil/Kingsbridge",32
pickup_location,"Bronx,University Heights/Morris Heights",33
pickup_location,"Bronx,Van Cortlandt Park",34
pickup_location,"Bronx,Van Cortlandt Village",35
pickup_location,"Bronx,Van Nest/Morris Park",36
pickup_location,"Bronx,West Concourse",37
pickup_location,"Bronx,West Farms/Bronx River",38
pickup_location,"Bronx,Westchester Village/Unionport",39
pickup_location,"Bronx,Williamsbridge/Olinville",40
pickup_location,"Bronx,Woodlawn/Wakefield",41
pickup_location,"Brooklyn,Bath Beach",42
pickup_location,"Brooklyn,Bay Ridge",43
pickup_location,"Brooklyn,Bedford",44
pickup_location,"Brooklyn,Bensonhurst East",45
pickup_location,"Brooklyn,Bensonhurst West",46
pickup_location,"Brooklyn,Boerum Hill",47
pickup_location,"Brooklyn,Borough Park",48
pickup_location,"Brooklyn,Brighton Beach",49
pickup_location,"Brooklyn,Brooklyn Heights",50
pickup_location,"Brooklyn,Brooklyn Navy Yard",51
pickup_location,"Brooklyn,Brownsville",52
pickup_location,"Brooklyn,Bushwick North",53
pickup_location,"Brooklyn,Bushwick South",54
pickup_location,"Brooklyn,Canarsie",55
pickup_location,"Brooklyn,Carroll Gardens",56
pickup_location,"Brooklyn,Clinton Hill",57
pickup_location,"Brooklyn,Cobble Hill",58
pickup_location,"Brooklyn,Columbia Street",59
pickup_location,"Brooklyn,Coney Island",60
pickup_location,"Brooklyn,Crown Heights North",61
pickup_location,"Brooklyn,Crown Heights South",62
pickup_location,"Brooklyn,Cypress Hills",63
pickup_location,"Brooklyn,DUMBO/Vinegar Hill",64
pickup_location,"Brooklyn,Downtown Brooklyn/MetroTech",65
pickup_location,"Brooklyn,Dyker Heights",66
pickup_location,"Brooklyn,East Flatbush/Farragut",67
pickup_location,"Brooklyn,East Flatbush/Remsen Village",68
pickup_location,"Brooklyn,East New York",69
pickup_location,"Brooklyn,East New York/Pennsylvania Avenue",70
pickup_location,"Brooklyn,East Williamsburg",71
pickup_location,"Brooklyn,Erasmus",72
pickup_location,"Brooklyn,Flatbush/Ditmas Park",73
pickup_location,"Brooklyn,Flatlands",74
pickup_location,"Brooklyn,Fort Greene",75
pickup_location,"Brooklyn,Gowanus",76
pickup_location,"Brooklyn,Gravesend",77
pickup_location,"Brooklyn,Green-Wood Cemetery",78
pickup_location,"Brooklyn,Greenpoint",79
pickup_location,"Brooklyn,Homecrest",80
pickup_location,"Brooklyn,Kensington",81
pickup_location,"Brooklyn,Madison",82
pickup_location,"Brooklyn,Manhattan Beach",83
pickup_location,"Brooklyn,Marine Park/Floyd Bennett Field",84
pickup_location,"Brooklyn,Marine Park/Mill Basin",85
pickup_location,"Brooklyn,Midwood",86
pickup_location,"Brooklyn,Ocean Hill",87
pickup_location,"Brooklyn,Ocean Parkway South",88
pickup_location,"Brooklyn,Park Slope",89
pickup_location,"Brooklyn,Prospect Heights",90
pickup_location,"Brooklyn,Prospect Park",91
pickup_location,"Brooklyn,Prospect-Lefferts Gardens",92
pickup_location,"Brooklyn,Red Hook",93
pickup_location,"Brooklyn,Sheepshead Bay",94
pickup_location,"Brooklyn,South Williamsburg",95
pickup_location,"Brooklyn,Starrett City",96
pickup_location,"Brooklyn,Stuyvesant Heights",97
pickup_location,"Brooklyn,Sunset Park East",98
pickup_location,"Brooklyn,Sunset Park West",99
pickup_location,"Brooklyn,Williamsburg (North Side)",100
pickup_location,"Brooklyn,Williamsburg (South Side)",101
pickup_location,"Brooklyn,Windsor Terrace",102
pickup_location,"EWR,Newark Airport",103
pickup_location,"Manhattan,Bloomingdale",104
pickup_location,"Manhattan,Central Harlem",105
pickup_location,"Manhattan,Central Harlem North",106
pickup_location,"Manhattan,Central Park",107
pickup_location,"Manhattan,East Harlem North",108
pickup_location,"Manhattan,East Harlem South",109
pickup_location,"Manhattan,Financial District South",110
pickup_location,"Manhattan,Hamilton Heights",111
pickup_location,"Manhattan,Highbridge Park",112
pickup_location,"Manhattan,Inwood",113
pickup_location,"Manhattan,Inwood Hill Park",114
pickup_location,"Manhattan,Kips Bay",115
pickup_location,"Manhattan,Lincoln Square East",116
pickup_location,"Manhattan,Little Italy/NoLiTa",117
pickup_location,"Manhattan,Manhattan Valley",118
pickup_location,"Manhattan,Manhattanville",119
pickup_location,"Manhattan,Marble Hill",120
pickup_location,"Manhattan,Morningside Heights",121
pickup_location,"Manhattan,Randalls Island",122
pickup_location,"Manhattan,Roosevelt Island",123
pickup_location,"Manhattan,Upper East Side North",124
